trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.1543033499620919}",25,0,-75.76291906324388,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.15249857033260467}",25,16,18.157290617448925,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.15075567228888181}",30,0,-81.63799909485888,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.14907119849998599}",30,0,-58.41582735325292,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.14744195615489714}",25,0,-25.660107154310904,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.14586499149789456}",25,0,-47.24532198421549,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.14433756729740646}",20,0,-5.233377445679281,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.14285714285714285}",25,0,31.88262788919967,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.1414213562373095}",20,0,-57.88078159683049,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.14002800840280097}",20,0,-38.21084907652463,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.1386750490563073}",25,3,11.142731176644627,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.13736056394868904}",25,0,-71.77841173138053,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.13608276348795434}",30,0,-21.85369984665256,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.13483997249264842}",30,0,-54.26652430006602,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.1336306209562122}",25,0,7.8637715189331505,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.13245323570650439}",30,0,-72.28153884107324,"{0: 25, 1: 2, 2: 1, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.13130643285972254}",20,3,-17.22526196205523,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.13018891098082389}",25,0,16.80735412571603,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.12909944487358055}",20,0,-12.03730501903148,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.12803687993289598}",25,0,-36.56977647322068,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.1270001270001905}",25,0,-53.15451560775198,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.1259881576697424}",20,0,-54.60500769668664,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.125}",25,0,-29.850040745444854,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
